id	X16.bam	X17.bam	X18.bam	X19.bam
PAU8	9.4388680172328	8.58129683615743	6.35842982596326	5.1450704759194
YAL067W-A	0	0	0	0
SEO1	78.2077635713575	37.0068426059289	15.8960745649081	9.43262920585223
YAL065C	7.41625344211148	1.60899315677952	6.35842982596326	2.5725352379597
YAL064W-B	0.674204858373771	1.60899315677952	0	0
TDA8	0	0.536331052259839	3.17921491298163	0
YAL064W	0	0	0	0
YAL063C-A	0	0	0	0
FLO9	18.8777360344656	10.7266210451968	6.35842982596326	2.5725352379597
GDH3	5121.26010420717	587.282502224524	416.477153600593	138.059391103837
BDH2	1284.36025520203	1040.48224138409	101.734877215412	70.3159631708984
BDH1	2748.05900273149	2588.33365820598	267.054052690457	284.69389966754
ECM1	91.0176558804591	136.228087273999	1678.6254740543	1433.75963928954
CNE1	57.3074129617706	73.477354159598	174.85682021399	167.21479046738
GPB2	944.561006581653	627.507331144012	82.6595877375223	67.7434279329387
PEX22	151.696093134099	113.702183079086	38.1505789557795	31.727934601503
ACS1	15688.7470543577	3416.96513394744	502.315956251097	107.188968248321
FLC2	1299.19276208626	414.047572344596	1230.35617132389	790.625829799614
OAF1	351.934936071109	253.148256666644	200.290539517843	168.929813959354
AIM2	1796.08174270773	1290.41251173717	213.007399169769	252.965965066037
GEM1	171.248034026938	120.674486758464	89.0180175634856	72.0309866628716
SPC72	68.0946906957509	65.4323883757004	76.3011579115591	73.7460101548447
BOL3	25.6197846182033	103.511893086149	85.838802650504	130.341785389958
BOL1	349.912321495987	247.784946144046	79.4803728245407	106.331456502334
GCV3	542.734910990886	817.368523643995	448.26930273041	373.875121250143
PTA1	428.120085067345	366.85043974573	397.401864122704	465.628878070705
ERV46	284.514450233731	457.490387577643	445.090087817428	509.36197711602
CDC24	111.918006490046	195.224503022582	394.222649209722	341.289674902653
CLN3	577.119358767948	326.625610826242	877.463315982929	632.843668538086
CYC3	504.979438921955	554.566308036674	441.910872904446	303.559158079244
CDC19	25413.4779315409	9688.28412802174	12650.0961387539	9448.92192902597
YAL037C-A	14.1583020258492	8.58129683615743	19.0752894778898	9.43262920585223
YAL037W	28.3166040516984	27.3528836652518	57.2258684336693	46.3056342832746
RBG1	123.3794890824	133.01010096044	1437.0051406677	1372.87630532449
FUN12	981.642273792211	1142.38514131346	2969.38672872484	2514.22443923261
MTW1	47.8685449445378	72.9410231073381	44.5090087817428	40.3030520613686
FUN19	2731.20388127215	1123.61355448436	302.025416733255	282.978876175567
POP5	43.1491109359214	62.7507331144012	104.914092128394	174.074884435273
PRP45	57.9816178201443	96.5395894067711	247.978763212567	212.662913004668
GIP4	326.989356311279	246.712284039526	155.7815307361	138.916902849824
SNC1	509.024668072197	424.237862337533	123.989381606284	149.207043801663
MYO4	188.777360344656	281.573802436416	550.004179945822	467.343901562679
FRT2	144.279839691987	86.3492994138341	19.0752894778898	30.8704228555164
SAW1	229.229651847082	245.103290882747	63.5842982596326	60.0258222190596
DRS2	149.673478558977	174.843923036708	187.573679865916	202.37277205283
HRA1	3.37102429186886	3.21798631355904	0	1.71502349197313
MAK16	91.0176558804591	137.837080430779	2702.33267603438	2485.92655161506
LTE1	28.3166040516984	50.9514499646847	101.734877215412	87.4661980906298
PMT2	320.921512585915	752.472466320555	1042.78249145797	994.713625344417
FUN26	22.2487603263344	30.034538926551	114.451736867339	92.6112685665492
CCR4	538.015476982269	445.154773375667	349.713640427979	301.844134587271
ATS1	170.573829168564	165.189964096031	47.6882236947244	93.4687803125357
FUN30	138.886200824997	154.999674103094	467.344592208299	394.45540315382
LDS1	0	0	0	0.857511745986566
PSK1	1589.77505604535	922.489409886924	82.6595877375223	78.0335688847775
TPD3	2632.76997194958	2150.1511885097	451.448517643391	526.512212035752
NTG1	156.415527142715	246.712284039526	108.093307041375	181.792490149152
SYN8	184.732131194413	248.857608248565	136.70624125821	171.502349197313
DEP1	306.763210560066	374.359074477368	499.136741338116	458.768784102813
CYS3	71.4657149876197	125.501466228802	2718.22875059929	2580.25284367358
SWC3	100.456523897692	108.338872556488	247.978763212567	218.665495226574
MDM10	124.053693940774	127.646790437842	60.4050833466509	88.3237098366163
SPO7	75.5109441378624	48.8061257556454	101.734877215412	120.909156184106
FUN14	949.954645448644	525.068100162383	127.168596519265	89.1812215826029
ERP2	79.556173288105	272.992505600258	184.394464952934	228.955636178413
TRN1	0	0	0	0
SSA1	10152.8509622506	22470.6620965305	934.689184416599	1359.15611738871
EFB1	3127.63633799592	6387.70283241469	8618.85162909319	8449.92074495162
snR18	12.1356874507279	48.8061257556454	73.1219429985775	44.5906107913014
VPS8	277.772401649994	166.79895725281	340.175995689034	327.569486966868
TFC3	461.156123127659	372.750081320588	85.838802650504	96.898827296482
NUP60	191.474179778151	231.695014576251	887.000960721874	885.809633604123
ERP1	457.785098835791	861.884000981562	327.459136037108	357.582398076398
SWD1	59.3300275368919	88.4946236228735	130.347811432247	150.922067293636
RFA1	162.483370868079	456.417725473123	22.2545043908714	43.7330990453149
SEN34	41.8007012191738	83.6676441525349	44.5090087817428	35.1579815854492
YAR009C	0	0	0	0
YAR010C	0	0	0	0
TGA1	0	1.07266210451968	0	0.857511745986566
BUD14	319.573102869168	251.002932457605	887.000960721874	629.41362155414
ADE1	595.997094802414	884.946236228735	2110.9987022198	1028.15658343789
KIN3	132.144152241259	170.016943566369	60.4050833466509	87.4661980906298
CDC15	213.722940104485	237.058325098849	136.70624125821	91.7537568205626
PAU7	8.76466315885903	3.75431736581888	0	11.1476526978254
